Date,Open,High,Low,Close,Adj Close,Volume
2017-10-13,255.139999,255.270004,254.639999,254.949997,254.949997,54800400
2017-10-16,255.210007,255.509995,254.820007,255.289993,255.289993,38221700
2017-10-17,255.229996,255.520004,254.979996,255.470001,255.470001,31561000
2017-10-18,255.899994,255.949997,255.500000,255.720001,255.720001,40888300
2017-10-19,254.830002,255.830002,254.350006,255.789993,255.789993,61903800
2017-10-20,256.700012,257.140015,255.770004,257.109985,257.109985,89176400
2017-10-23,257.480011,257.510010,256.019989,256.109985,256.109985,63915300
2017-10-24,256.600006,256.829987,256.149994,256.559998,256.559998,66935900
2017-10-25,256.179993,256.309998,254.000000,255.289993,255.289993,103715300
2017-10-26,255.990005,256.299988,255.479996,255.619995,255.619995,69798000
2017-10-27,256.470001,257.890015,255.630005,257.709991,257.709991,85562500
2017-10-30,256.470001,257.600006,256.410004,256.750000,256.750000,54285700
2017-10-31,257.179993,257.440002,256.809998,257.149994,257.149994,60304800
2017-11-01,258.040009,258.429993,257.070007,257.489990,257.489990,54202700
2017-11-02,257.410004,257.750000,256.190002,257.589996,257.589996,56449500
2017-11-03,257.769989,258.500000,257.299988,258.450012,258.450012,59589700
2017-11-06,258.299988,259.000000,258.220001,258.850006,258.850006,49652600
2017-11-07,258.970001,259.350006,258.089996,258.670013,258.670013,57502200
2017-11-08,258.470001,259.220001,258.149994,259.109985,259.109985,50469600
2017-11-09,257.730011,258.390015,256.359985,258.170013,258.170013,95085500
2017-11-10,257.730011,258.290009,257.369995,258.089996,258.089996,55731100
